user_id,item_id,rating
645.1727127021,3206282,5
645.1727127021,4033436,3
37203.1735228046,4024032,3
37203.1735228046,4031903,3
71062.1735764228,3858823,3
71062.1735764228,3908971,3
71062.1735764228,3967930,3
71062.1735764228,4028259,3
71062.1735764228,4033218,3
71062.1735764228,4035578,3
106242.1735735747,3530694,3
113228.1734187337,4035569,3
152809.1735687026,4033258,3
176112.1735762447,4022990,3
180294.1735513062,4027967,3
180294.1735513062,4029966,5
199499.1735734162,4022217,3
225212.1735534168,4011559,3
225212.1735534168,4032672,3
254004.1705252542,3929412,3
254004.1705252542,4020194,3
342570.1729966778,2537739,3
342570.1729966778,3803849,3
342570.1729966778,3998124,3
342570.1729966778,4031001,3
342570.1729966778,4032177,5
345042.1730381268,3992739,3
345042.1730381268,4026319,5
345042.1730381268,4026663,5
345042.1730381268,4031969,5
391660.1708817676,4031088,3
401393.1732995415,3809984,3
401393.1732995415,4011952,3
404625.1735718474,3944809,3
404625.1735718474,4020610,3
404625.1735718474,4032863,5
404625.1735718474,4035566,3
407730.1735731569,4014432,3
550190.172786451,4022305,3
565348.1733852962,3977913,3
565348.1733852962,4026094,3
565348.1733852962,4026719,3
565348.1733852962,4034371,3
568676.1633463062,4003105,5
568676.1633463062,4034956,3
568676.1633463062,4035457,3
591403.1705651111,4035499,3
591403.1705651111,4036164,3
603004.1735723191,3888480,3
624851.1714586793,3456565,3
624851.1714586793,3722009,3
624851.1714586793,3981366,3
624851.1714586793,4016605,3
624851.1714586793,4026510,3
684677.1724681217,4017976,5
684677.1724681217,4022640,3
684677.1724681217,4025246,5
724506.1735683013,3950771,3
795135.1735724575,3363206,3
795135.1735724575,3543222,3
795135.1735724575,3846355,3
795135.1735724575,4031246,3
795591.1733243536,3356839,3
795591.1733243536,3898594,3
795591.1733243536,3951784,3
795591.1733243536,4016472,3
795591.1733243536,4017240,3
795591.1733243536,4017319,3
795591.1733243536,4030519,3
795591.1733243536,4035495,3
795591.1733243536,4035581,3
795591.1733243536,4035936,3
795591.1733243536,4036366,3
808820.1673382462,3806997,3
808820.1673382462,4019218,3
808820.1673382462,4029318,3
808820.1673382462,4030707,3
834803.1735762096,4016317,3
863492.1732110374,4016359,3
863492.1732110374,4031725,3
884903.171579443,4034885,3
884903.171579443,4036178,3
901929.1735757804,4025736,3
1113928.1723811796,4013784,3
1386707.1735678944,3951828,3
1386707.1735678944,4021511,3
1386707.1735678944,4033376,3
1394963.173253267,4023900,3
1394963.173253267,4035640,3
1437562.173528331,3971373,3
1437562.173528331,4034384,3
1449724.1735762283,3999683,3
1474744.1681972987,3908194,3
1474744.1681972987,4014432,3
1487472.173574692,4001768,5
1487748.1735727452,3835361,3
1487748.1735727452,4023933,3
1487748.1735727452,4028270,3
1487748.1735727452,4031198,3
1606426.1735754802,2554281,3
1795906.173575612,3910823,3
1795906.173575612,4007349,3
1795906.173575612,4017309,3
1795906.173575612,4027776,3
1795906.173575612,4035507,3
1817626.1735743908,3274894,3
1955856.16831053,3936450,3
1955856.16831053,4022874,3
2142119.1732218685,3895627,5
2142119.1732218685,3962568,5
2142119.1732218685,4035686,3
2155590.173574392,3246657,3
2155590.173574392,4021228,3
2155590.173574392,4025212,3
2155590.173574392,4030843,3
2155590.173574392,4033943,3
2193065.1735763866,4011592,3
2193065.1735763866,4015649,3
2193065.1735763866,4026193,3
2193065.1735763866,4027375,3
2193065.1735763866,4035521,3
2249289.1735403123,2133054,5
2299819.172002345,2795237,5
2299819.172002345,4028741,3
2328356.173549022,4013952,3
2328356.173549022,4018260,3
2328356.173549022,4026207,3
2328356.173549022,4026833,5
2328356.173549022,4027988,5
2328356.173549022,4032465,5
2371739.1735736076,4036301,3
2391053.1735745776,2657999,3
2650851.1735685,4031246,3
2686999.1706779944,3991789,5
2686999.1706779944,3998026,3
2687398.173573453,3345330,3
2687398.173573453,3992002,3
2801951.1734276796,3953141,3
2801951.1734276796,4031908,3
2995554.1679262808,4032943,3
2995554.1679262808,4036036,3
3017727.173490101,2935784,3
3017727.173490101,4016127,3
3017727.173490101,4016444,3
3017727.173490101,4019117,3
3017727.173490101,4019940,3
3017727.173490101,4020077,3
3017727.173490101,4024766,3
3017727.173490101,4024817,3
3017727.173490101,4024834,3
3017727.173490101,4030001,3
3017727.173490101,4030735,3
3017727.173490101,4031754,3
3075100.1728626746,3567820,5
3181821.1710482454,4031915,3
3204129.168668575,4030504,3
3248993.1735711256,3965353,3
3248993.1735711256,4008315,3
3275416.167346764,3735967,3
3275416.167346764,3961431,3
3283600.172335607,4019456,3
3315878.1735398327,4030307,5
3497547.173575107,3896806,3
3497547.173575107,3961964,3
3497547.173575107,4016022,3
3497547.173575107,4017191,3
3497547.173575107,4033342,3
3497547.173575107,4033353,3
3497547.173575107,4034107,3
3497547.173575107,4034114,3
3497547.173575107,4035439,3
3587431.1735576433,3180309,5
3602059.1735053547,3917331,3
3672600.1735683535,2191726,3
3700774.1733482247,4009922,3
3871936.1731957216,4035406,3
3946191.173574943,4016097,3
4006455.1735753566,4023186,3
4006455.1735753566,4032698,3
4039544.173573927,4021376,3
4040686.170548897,3762870,3
4040686.170548897,3984889,3
4040686.170548897,4001525,3
4040686.170548897,4014220,3
4040686.170548897,4017543,3
4040686.170548897,4017704,3
